pond_id,lat_ul,lon_ul,lat_ur,lon_ur,lat_ll,lon_ll,lat_lr,lon_lr
69,37.635226,-89.176597,37.635224,-89.176336,37.635136,-89.176594,37.635132,-89.17634
70,37.635425,-89.176597,37.635423,-89.176338,37.635340,-89.176588,37.635339,-89.176327
71,37.635633,-89.176609,37.635631,-89.176335,37.635522,-89.176601,37.635527,-89.176332
72,37.635830,-89.176618,37.635828,-89.176335,37.635730,-89.176618,37.635733,-89.176329
73,37.636025,-89.176617,37.636024,-89.176326,37.635925,-89.176618,37.635924,-89.176339
74,37.636216,-89.176606,37.636220,-89.176348,37.636122,-89.176615,37.636121,-89.176336
75,37.636421,-89.176602,37.636416,-89.176334,37.636328,-89.176589,37.636322,-89.176328
76,37.634441,-89.17702,37.634444,-89.176764,37.634342,-89.177018,37.634341,-89.176755
77,37.634641,-89.177037,37.634656,-89.176761,37.634531,-89.177029,37.634530,-89.176738
78,37.634819,-89.177,37.634825,-89.176767,37.634738,-89.17702,37.634732,-89.17676
79,37.635025,-89.177009,37.635034,-89.176757,37.634919,-89.177022,37.634930,-89.176758
80,37.635230,-89.177031,37.635246,-89.176766,37.635136,-89.177028,37.635132,-89.176776
81,37.634440,-89.177437,37.634441,-89.177165,37.634332,-89.17743,37.634338,-89.17717
82,37.634628,-89.177445,37.634638,-89.177185,37.634534,-89.177439,37.634540,-89.177174
83,37.634841,-89.177474,37.634840,-89.177161,37.634728,-89.177465,37.634731,-89.177166
84,37.635028,-89.177446,37.635031,-89.177188,37.634926,-89.177428,37.634929,-89.177171
85,37.635222,-89.177436,37.635228,-89.177194,37.635129,-89.177432,37.635132,-89.177176
86,37.634433,-89.177856,37.634435,-89.177599,37.634324,-89.177867,37.634333,-89.177596
87,37.634629,-89.177878,37.634636,-89.17758,37.634528,-89.177883,37.634538,-89.177582
88,37.634824,-89.17788,37.634832,-89.177612,37.634728,-89.177872,37.634730,-89.1776
89,37.635033,-89.177896,37.635033,-89.177608,37.634932,-89.177878,37.634934,-89.177605
90,37.635221,-89.177872,37.635226,-89.177598,37.635112,-89.177881,37.635117,-89.17759
AQUA_NORTH,27.535936, -80.352145, 27.535945, -80.351194, 27.535505, -80.352158, 27.535497, -80.351169
DEAD_HORSE,27.533608, -80.355932, 27.533635, -80.355027, 27.532713, -80.355906, 27.532647, -80.354994
