time,value0,value1,value2,value3,value4,value5,value6,value7,value8,value9
2022-11-16 14:12:31,0 28 82,24 28 81,42 28 74,70 28 69,88 28 65,96 28 64
2022-11-16 14:13:28,0 28 77,12 28 81,42 28 76,62 28 69,82 28 65,94 28 65
2022-11-16 14:14:31,0 25 92,18 28 93,44 28 86,68 28 80,88 25 75,94 25 71
