0.151850,0.634125
0.231270,0.999664
0.310465,1.000000
0.232242,0.957652
0.312312,0.958619
0.232339,0.914336
0.230493,0.872282
0.311923,0.871694
0.231367,0.824341
0.312798,0.824509
0.215625,0.775348
0.323487,0.775558
0.231659,0.712688
0.388106,0.712435
0.233991,0.644434
0.309008,0.644939
0.388106,0.645612
0.002429,0.572564
0.078127,0.574288
0.155476,0.572101
0.233505,0.571218
0.462832,0.572564
0.540958,0.569536
0.000000,0.502839
0.079293,0.502544
0.156059,0.501871
0.233505,0.501577
0.308911,0.502124
0.385482,0.503722
0.463415,0.502040
0.542707,0.503554
0.003110,0.429791
0.079390,0.428235
0.155378,0.429665
0.233602,0.430842
0.309494,0.432062
0.385871,0.432356
0.460985,0.428025
0.543873,0.430422
0.231950,0.359014
0.309980,0.362000
0.387717,0.360066
0.461471,0.361622
0.539403,0.360654
0.616072,0.360991
0.693130,0.357879
0.768924,0.361327
0.845010,0.360444
0.922651,0.362084
0.998154,0.361748
0.234282,0.287775
0.309785,0.286345
0.386357,0.286429
0.461568,0.286724
0.536974,0.286219
0.615003,0.286471
0.692255,0.287186
0.768341,0.286513
0.843650,0.286892
0.919930,0.285883
0.997862,0.286766
0.234380,0.215526
0.309008,0.214012
0.380332,0.216073
0.461568,0.216199
0.536585,0.215316
0.615198,0.216031
0.691575,0.214895
0.770090,0.213928
0.845593,0.213928
0.921485,0.213718
1.000000,0.215905
0.230493,0.144245
0.307259,0.143908
0.380721,0.144665
0.457876,0.144708
0.539112,0.142395
0.228841,0.075066
0.305510,0.073342
0.383247,0.072375
0.458459,0.073763
0.535905,0.073552
0.226314,0.002902
0.304635,0.002691
0.380721,0.000967
0.460208,0.000000
0.532504,0.001934
